participant,item,prime,communication,Response
1,E05,A,audio_call,0
1,E07,A,audio_call,0
1,E16,A,audio_call,NA
1,E20,A,audio_call,0
1,E29,A,audio_call,1
1,E33,A,audio_call,0
2,E06,A,audio_call,1
2,E11,A,audio_call,1
2,E14,A,audio_call,1
2,E19,A,audio_call,1
2,E30,A,audio_call,1
2,E35,A,audio_call,1
3,E02,A,audio_call,1
3,E12,A,audio_call,0
3,E17,A,audio_call,0
3,E21,A,audio_call,1
3,E28,A,audio_call,NA
3,E32,A,audio_call,1
4,E01,A,audio_call,0
4,E10,A,audio_call,1
4,E15,A,audio_call,1
4,E23,A,audio_call,1
4,E26,A,audio_call,1
4,E34,A,audio_call,1
5,E04,A,audio_call,1
5,E09,A,audio_call,0
5,E18,A,audio_call,1
5,E22,A,audio_call,1
5,E27,A,audio_call,1
5,E31,A,audio_call,0
6,E03,A,audio_call,0
6,E08,A,audio_call,1
6,E13,A,audio_call,0
6,E24,A,audio_call,1
6,E25,A,audio_call,1
6,E36,A,audio_call,1
7,E01,A,audio_call,1
7,E10,A,audio_call,0
7,E15,A,audio_call,0
7,E23,A,audio_call,0
7,E26,A,audio_call,0
7,E34,A,audio_call,1
8,E03,A,audio_call,0
8,E08,A,audio_call,0
8,E13,A,audio_call,1
8,E24,A,audio_call,1
8,E25,A,audio_call,0
8,E36,A,audio_call,1
9,E05,A,audio_call,1
9,E07,A,audio_call,0
9,E16,A,audio_call,1
9,E20,A,audio_call,0
9,E29,A,audio_call,1
9,E33,A,audio_call,1
10,E01,A,audio_call,0
10,E10,A,audio_call,0
10,E15,A,audio_call,0
10,E23,A,audio_call,0
10,E26,A,audio_call,0
10,E34,A,audio_call,0
11,E06,A,audio_call,1
11,E11,A,audio_call,1
11,E14,A,audio_call,1
11,E19,A,audio_call,0
63,E03,A,audio_call,NA
11,E30,A,audio_call,1
11,E35,A,audio_call,1
12,E04,A,audio_call,NA
12,E09,A,audio_call,1
12,E18,A,audio_call,0
12,E22,A,audio_call,1
12,E27,A,audio_call,1
12,E31,A,audio_call,1
13,E02,A,audio_call,0
13,E12,A,audio_call,0
13,E17,A,audio_call,0
13,E21,A,audio_call,0
13,E28,A,audio_call,1
13,E32,A,audio_call,0
14,E05,A,audio_call,1
14,E07,A,audio_call,0
14,E16,A,audio_call,1
14,E20,A,audio_call,1
14,E29,A,audio_call,1
14,E33,A,audio_call,1
15,E05,A,audio_call,NA
15,E07,A,audio_call,1
15,E16,A,audio_call,1
15,E20,A,audio_call,1
15,E29,A,audio_call,1
15,E33,A,audio_call,1
16,E04,A,audio_call,0
16,E09,A,audio_call,0
16,E18,A,audio_call,1
16,E22,A,audio_call,1
16,E27,A,audio_call,1
16,E31,A,audio_call,NA
17,E01,A,audio_call,0
17,E10,A,audio_call,1
17,E15,A,audio_call,1
17,E23,A,audio_call,1
17,E26,A,audio_call,1
17,E34,A,audio_call,1
67,E03,A,audio_call,NA
18,E03,A,audio_call,0
18,E08,A,audio_call,0
18,E13,A,audio_call,0
18,E24,A,audio_call,0
18,E25,A,audio_call,0
18,E36,A,audio_call,0
19,E05,A,audio_call,0
19,E07,A,audio_call,0
19,E16,A,audio_call,0
19,E20,A,audio_call,1
19,E29,A,audio_call,0
19,E33,A,audio_call,0
20,E06,A,audio_call,1
20,E11,A,audio_call,1
20,E14,A,audio_call,1
20,E30,A,audio_call,1
20,E35,A,audio_call,NA
21,E02,A,audio_call,1
21,E12,A,audio_call,0
21,E17,A,audio_call,1
21,E21,A,audio_call,0
21,E28,A,audio_call,1
21,E32,A,audio_call,1
22,E03,A,audio_call,1
22,E08,A,audio_call,1
22,E13,A,audio_call,1
22,E24,A,audio_call,0
22,E25,A,audio_call,1
22,E36,A,audio_call,1
23,E01,A,audio_call,0
23,E10,A,audio_call,1
23,E15,A,audio_call,0
23,E23,A,audio_call,NA
23,E26,A,audio_call,1
23,E34,A,audio_call,1
24,E04,A,audio_call,0
24,E09,A,audio_call,NA
24,E22,A,audio_call,NA
61,E05,A,audio_call,NA
24,E27,A,audio_call,1
24,E31,A,audio_call,1
45,E07,A,audio_call,NA
67,E08,A,audio_call,NA
25,E02,A,audio_call,0
25,E12,A,audio_call,1
25,E17,A,audio_call,1
25,E21,A,audio_call,0
25,E28,A,audio_call,1
25,E32,A,audio_call,1
26,E03,A,audio_call,0
26,E08,A,audio_call,0
26,E13,A,audio_call,0
26,E24,A,audio_call,0
26,E25,A,audio_call,0
26,E36,A,audio_call,0
27,E06,A,audio_call,1
27,E11,A,audio_call,1
27,E14,A,audio_call,1
27,E19,A,audio_call,1
27,E30,A,audio_call,1
27,E35,A,audio_call,1
28,E01,A,audio_call,0
28,E10,A,audio_call,1
28,E15,A,audio_call,1
28,E23,A,audio_call,1
28,E26,A,audio_call,1
28,E34,A,audio_call,1
29,E05,A,audio_call,1
29,E07,A,audio_call,0
29,E16,A,audio_call,1
29,E20,A,audio_call,1
29,E29,A,audio_call,1
29,E33,A,audio_call,0
30,E04,A,audio_call,1
30,E09,A,audio_call,1
57,E09,A,audio_call,NA
30,E18,A,audio_call,1
30,E22,A,audio_call,1
30,E27,A,audio_call,1
30,E31,A,audio_call,1
31,E05,A,audio_call,1
31,E07,A,audio_call,0
