Participant,Item,List,Trial,Prime,Response
1,1,1,95,slang,0
1,1,1,11,other,0
3,1,1,95,slang,0
3,1,1,11,other,0
4,1,4,106,standard,0
5,1,5,34,other,0
6,1,6,95,slang,1
6,1,6,11,other,1
8,1,8,103,slang,1
10,1,10,34,other,0
11,1,11,95,slang,1
11,1,11,11,other,0
12,1,12,28,standard,0
12,1,12,11,other,0
13,1,13,103,slang,1
14,1,14,106,standard,1
15,1,15,34,other,0
16,1,3,103,slang,0
17,1,2,28,standard,0
18,1,1,95,slang,1
18,1,1,11,other,1
19,1,4,106,standard,0
20,1,5,34,other,0
21,1,6,95,slang,1
21,1,6,11,other,1
22,1,7,28,standard,1
23,1,8,103,slang,1
24,1,9,106,standard,0
25,1,10,34,other,1
26,1,11,95,slang,1
26,1,11,11,other,1
27,1,12,28,standard,1
27,1,12,11,other,1
28,1,13,103,slang,1
29,1,14,106,standard,1
30,1,15,34,other,0
31,1,1,95,slang,1
31,1,1,11,other,1
32,1,2,28,standard,0
33,1,3,103,slang,1
34,1,4,106,standard,0
35,1,5,34,other,1
36,1,6,95,slang,1
36,1,6,11,other,0
37,1,7,28,standard,0
38,1,8,103,slang,1
39,1,9,106,standard,1
40,1,10,34,other,1
41,1,11,95,slang,1
41,1,11,11,other,1
42,1,12,28,standard,0
42,1,12,11,other,0
43,1,13,103,slang,0
44,1,14,106,standard,0
45,1,15,34,other,1
46,1,1,95,slang,1
46,1,1,11,other,1
47,1,2,28,standard,1
48,1,3,103,slang,1
49,1,4,106,standard,0
50,1,5,34,other,1
51,1,11,95,slang,0
51,1,11,11,other,0
52,1,7,28,standard,0
53,1,8,103,slang,1
55,1,10,34,other,0
56,1,6,95,slang,0
56,1,6,11,other,0
57,1,12,28,standard,0
57,1,12,11,other,0
58,1,13,103,slang,0
59,1,14,106,standard,1
60,1,15,34,other,1
61,1,1,95,slang,1
61,1,1,11,other,0
62,1,2,28,standard,1
63,1,3,103,slang,1
64,1,4,106,standard,0
65,1,5,34,other,1
66,1,6,95,slang,1
66,1,6,11,other,0
67,1,7,28,standard,0
68,1,8,103,slang,1
69,1,9,106,standard,1
70,1,10,34,other,1
71,1,11,95,slang,0
71,1,11,11,other,0
72,1,12,28,standard,1
72,1,12,11,other,0
73,1,13,103,slang,1
74,1,14,106,standard,0
75,1,15,34,other,0
76,1,1,95,slang,1
76,1,1,11,other,1
77,1,2,28,standard,0
78,1,3,103,slang,0
79,1,4,106,standard,0
80,1,5,34,other,0
81,1,6,95,slang,0
81,1,6,11,other,0
82,1,7,28,standard,0
83,1,8,103,slang,0
84,1,9,106,standard,0
85,1,10,34,other,0
86,1,11,95,slang,0
86,1,11,11,other,0
87,1,12,28,standard,0
87,1,12,11,other,1
88,1,13,103,slang,0
89,1,14,106,standard,0
90,1,15,34,other,0
91,1,1,95,slang,0
91,1,1,11,other,0
92,1,2,28,standard,1
93,1,3,103,slang,0
94,1,4,106,standard,1
95,1,5,34,other,1
96,1,6,95,slang,1
96,1,6,11,other,0
97,1,7,28,standard,0
98,1,8,103,slang,0
99,1,9,106,standard,0
100,1,10,34,other,0
102,1,12,28,standard,0
102,1,12,11,other,0
103,1,11,95,slang,1
103,1,11,11,other,1
106,1,1,11,other,0
107,1,2,28,standard,0
108,1,3,103,slang,0
109,1,4,106,standard,1
110,1,5,34,other,0
111,1,6,95,slang,1
111,1,6,11,other,1
112,1,6,95,slang,1
112,1,6,11,other,1
113,1,7,28,standard,1
114,1,8,103,slang,0
115,1,9,106,standard,0
116,1,10,34,other,0
117,1,11,11,other,0
118,1,12,28,standard,1
118,1,12,11,other,1
120,1,14,106,standard,0
122,1,1,11,other,0
123,1,2,28,standard,0
125,1,4,106,standard,1
127,1,6,95,slang,0
127,1,6,11,other,0
128,1,7,28,standard,0
129,1,8,103,slang,0
